Skill,Experience,Salary
C++,13.9,25.91
React,12.5,24.15
C++,1.2,9.91
JavaScript,3.3,9.87
Flask,12.1,20.27
Data Analysis,6.1,14.94
Java,9.2,17.14
JavaScript,10.6,17.09
React,4.4,13.94
C++,7.6,17.98
SQL,8.7,13.83
Computer Vision,6.5,22.51
Computer Vision,4.5,19.09
DevOps,2.5,14.03
Java,14.3,22.64
Python,12.3,20.48
SQL,3.2,8.88
DevOps,12.9,29.94
Python,9.7,17.68
JavaScript,6.5,13.04
Flask,9.5,17.46
Flask,11,19.08
Python,5,12.6
Node.js,9.6,19.03
Django,3.5,11.89
SQL,2.2,7.98
Deep Learning,10.9,28.46
DevOps,3.2,15.1
Machine Learning,2.9,13.78
JavaScript,9,15.51
Data Analysis,10.7,20.32
Angular,13.2,23.24
DevOps,11.1,27.18
Angular,9.9,19.38
SQL,10,15
React,7.6,17.98
Node.js,5.5,14.23
SQL,14.1,18.69
JavaScript,1.6,8.18
Java,1.2,8.5
JavaScript,1.2,7.79
Deep Learning,5.5,19.71
Data Analysis,9.4,18.8
AWS,4.6,16.22
Angular,6.6,15.52
React,9.2,19.99
Data Analysis,6.8,15.76
NLP,3,15.66
Python,7.2,14.98
React,4.9,14.57
React,14.3,26.42
JavaScript,1.8,8.38
Computer Vision,4.8,19.61
Data Analysis,11.7,21.49
SQL,7.4,12.66
Django,4.3,12.83
Node.js,5.1,13.77
Data Analysis,9.6,19.03
Big Data,0.1,10.35
JavaScript,10.7,17.19
Node.js,5.5,14.23
Data Analysis,2.4,10.61
Django,8.7,17.98
SQL,8.1,13.29
Python,0.1,7.31
Computer Vision,12.4,32.6
Computer Vision,3.9,18.07
Machine Learning,4.5,16.08
AWS,0.7,10.61
React,12.2,23.77
C++,7.5,17.85
SQL,3.9,9.51
Big Data,3.3,15.25
Data Analysis,0.1,7.92
JavaScript,10,16.5
SQL,1.6,7.44
Computer Vision,13.2,33.97
Machine Learning,5.5,17.52
Deep Learning,5.6,19.87
SQL,6.6,11.94
Big Data,8.1,22.59
React,2.3,11.3
Angular,14.2,24.41
Django,8.8,18.1
Node.js,8.9,18.21
Django,1,8.97
Big Data,7.3,21.37
Python,11.9,20.05
Python,14.3,22.64
Angular,3.8,12.25
React,9.4,20.24
Big Data,2.9,14.64
Deep Learning,2.1,14.2
Data Analysis,6.2,15.05
JavaScript,13.8,20.26
C++,0.3,8.78
React,4.4,13.94
JavaScript,0.5,7.09
NLP,4.4,17.93
NLP,4.7,18.41
Machine Learning,2.8,13.63
React,1.5,10.29
Django,7.5,16.57
Machine Learning,0.2,9.89
NLP,4.3,17.77
NLP,5.9,20.36
Flask,5.2,12.82
Computer Vision,7,23.37
Node.js,8.6,17.86
React,7.9,18.35
JavaScript,4.1,10.66
JavaScript,2.5,9.07
Django,2,10.14
Deep Learning,4,17.28
Deep Learning,12.4,30.89
Data Analysis,1.9,10.02
Data Analysis,10.7,20.32
Django,6.9,15.87
Computer Vision,12.8,33.29
NLP,13,31.86
NLP,8.9,25.22
Machine Learning,10.1,24.14
Big Data,5.7,18.92
NLP,13.5,32.67
React,2.1,11.05
Machine Learning,5.9,18.1
Computer Vision,3.1,16.7
Node.js,5.9,14.7
Node.js,13.5,23.59
C++,4.6,14.2
JavaScript,14.8,21.25
DevOps,1.1,11.88
DevOps,1.7,12.8
Python,3.9,11.41
Deep Learning,7.6,23.11
Node.js,10.6,20.2
Data Analysis,12.8,22.78
JavaScript,4.5,11.05
Django,1.2,9.2
Flask,8.6,16.49
Big Data,2.5,14.03
NLP,2.5,14.85
Big Data,11.8,28.25
Flask,3.4,10.87
Machine Learning,0.1,9.74
Python,13.5,21.78
Python,9.6,17.57
Angular,7.9,17.04
SQL,7.9,13.11
Flask,7.6,15.41
Django,4.5,13.06
Big Data,13,30.09
Flask,10,18
Data Analysis,13.6,23.71
Node.js,5.2,13.88
Angular,14,24.18
NLP,12.3,30.73
Python,5.8,13.46
C++,5.8,15.71
AWS,14.7,30.77
Computer Vision,11.1,30.38
Data Analysis,0.8,8.74
C++,2.9,12.05
Machine Learning,12.5,27.6
Python,4.9,12.49
Django,6.5,15.4
DevOps,9.6,24.89
Data Analysis,5,13.65
DevOps,6.6,20.3
NLP,8.2,24.08
React,1.3,10.04
JavaScript,3.2,9.77
Java,2.5,9.9
Data Analysis,1.2,9.2
Node.js,5.2,13.88
Data Analysis,12.6,22.54
Angular,1.6,9.67
Computer Vision,6.8,23.03
React,5.3,15.08
NLP,7.6,23.11
C++,8.6,19.24
NLP,10.6,27.97
Java,5.1,12.71
C++,11.8,23.27
SQL,7,12.3
Django,15,25.35
Machine Learning,3.6,14.78
Flask,6.8,14.54
Python,2.9,10.33
SQL,14.6,19.14
Computer Vision,9.8,28.16
Django,1.1,9.09
Computer Vision,10.4,29.18
Node.js,13.8,23.95
Big Data,12.8,29.78
AWS,9.2,22.85
Deep Learning,3.1,15.82
Flask,12.2,20.38
NLP,13.2,32.18
NLP,12.3,30.73
React,6.2,16.21
C++,6.2,16.21
Java,2.1,9.47
Big Data,8.9,23.82
NLP,6.5,21.33
Machine Learning,4.1,15.5
Deep Learning,2.7,15.17
Big Data,10.8,26.72
React,12.4,24.02
Data Analysis,3.2,11.54
Data Analysis,3.8,12.25
React,6.3,16.34
Flask,2.4,9.79
Node.js,9.7,19.15
Django,4.6,13.18
Python,10.8,18.86
React,1.3,10.04
Computer Vision,0.4,12.08
C++,11.7,23.14
NLP,1.7,13.55
C++,13.2,25.03
Computer Vision,12.1,32.09
C++,0.5,9.03
JavaScript,2.9,9.47
AWS,12.6,27.74
Deep Learning,5.8,20.2
Django,5,13.65
JavaScript,13,19.47
JavaScript,0.5,7.09
Machine Learning,0.1,9.74
Computer Vision,9.3,27.3
SQL,11.2,16.08
Python,13.8,22.1
Python,12,20.16
SQL,11.4,16.26
NLP,10,27
Computer Vision,12.4,32.6
AWS,12.7,27.89
Python,9.1,17.03
Flask,1.2,8.5
Computer Vision,11.3,30.72
C++,13,24.78
Computer Vision,3.1,16.7
C++,3.9,13.31
AWS,0.8,10.75
Big Data,14.1,31.77
C++,11.2,22.51
C++,4.3,13.82
Big Data,11.2,27.34
Java,2.4,9.79
Java,7.3,15.08
AWS,5.7,17.81
Flask,2,9.36
Data Analysis,0.9,8.85
SQL,1.8,7.62
Deep Learning,12.2,30.56
Computer Vision,5.4,20.63
C++,10.2,21.25
React,6.4,16.46
React,1,9.66
Big Data,0.9,11.58
Python,9.1,17.03
Python,8,15.84
Node.js,10.2,19.73
C++,5.2,14.95
Big Data,9,23.97
NLP,12.5,31.05
Node.js,14.1,24.3
Node.js,3.8,12.25
DevOps,12.4,29.17
Angular,7.8,16.93
NLP,3.4,16.31
DevOps,2.5,14.03
C++,8.1,18.61
C++,2,10.92
Java,5.6,13.25
React,7.5,17.85
DevOps,7.8,22.13
C++,6.1,16.09
DevOps,13,30.09
Python,2.3,9.68
Python,14,22.32
NLP,7.2,22.46
Python,9.2,17.14
SQL,4.7,10.23
SQL,6.4,11.76
SQL,12.5,17.25
DevOps,9.2,24.28
Flask,4.7,12.28
C++,8.2,18.73
Big Data,13.6,31.01
DevOps,13.8,31.31
Deep Learning,9.3,25.87
AWS,8.3,21.55
Django,0.5,8.38
AWS,5.4,17.38
Java,0.8,8.06
AWS,6.3,18.67
Flask,10.2,18.22
